Institution,ZIP,Cost,
Lander University,29649-2099,25070,
Landmark College,05346,77400,
Lane College,38301-4598,23680,
Lane Community College,97405-0640,19528,
Langston University,73050,20447,
Laramie County Community College,82007-3299,15359,
Lasell University,02466,56500,
Lassen Community College,96130,15601,
Lawrence Technological University,48075-1058,51846,
Lawrence University,54911,62166,
Lawson State Community College,35221-1717,14860,
Le Moyne College,13214-1301,52040,
Le Moyne-Owen College,38126-6595,19296,
Lebanon Valley College,17003-1400,60792,
Lee University,37311,32500,
Lees-McRae College,28604,43596,
Lehigh University,18015,71465,
Lenoir-Rhyne University,28601,54520,
Lesley University,02138-2790,50245,
LeTourneau University,75602,45566,
Lewis & Clark College,97219-7899,68890,
Lewis University,60446-2200,47980,
Lewis-Clark State College,83501-2698,18512,
Liberty University,24515,40977,
Life Pacific University,91773-3298,31180,
Life University,30060,39501,
LIM College,10022-5268,52250,
Limestone College,29340-3799,42736,
Lincoln Christian University,62656-2111,27505,
Lincoln College,62656,29678,
Lincoln Memorial University,37752-9900,37860,
Lincoln University,65101,20244,
Lincoln University,19352-0999,26008,
Lindenwood University,63301-1695,31300,
Lindsey Wilson College,42728-1223,41018,
Linfield College-McMinnville Campus,97128-6894,59452,
Lipscomb University,37204-3951,51454,
Little Priest Tribal College,68071-0270,16864,
Living Arts College,27614-7076,31783,
Livingstone College,28144,28390,
Lock Haven University,17745-2390,27374,
Long Island University,11548-1327,57218,
Longwood University,23909,29364,
Loras College,52004-0178,46754,
Los Angeles College of Music,91105,46150,
Louisburg College,27549-2399,33107,
Louisiana College,71359,27904,
Louisiana State University and Agricultural & Mechanical College,70803-2750,32962,
Louisiana State University-Alexandria,71302-9121,19171,
Louisiana State University-Eunice,70535,19964,
Louisiana Tech University,71272,22341,
Lourdes University,43560-2898,39529,
Loyola Marymount University,90045-2659,70446,
Loyola University Chicago,60660,63123,
Loyola University Maryland,21210-2699,67660,
Loyola University New Orleans,70118-6143,57020,
Lubbock Christian University,79407-2099,37660,
Lurleen B Wallace Community College,36420-1418,15167,
Luther College,52101-1045,57885,
Lutheran School of Nursing,63118-3909,25296,
Lycoming College,17701-5192,58131,
Lynn University,33431-5598,57743,
Lyon College,72501,42450,
Macalester College,55105-1899,71053,
Machzikei Hadath Rabbinical College,11204-1805,15500,
MacMurray College,62650-2590,40000,
Madonna University,48150-1176,38600,
Magdalen College,03278-4012,35456,
Maharishi University of Management,52557,28730,
Maine College of Art,04101-3494,52544,
Maine College of Health Professions,04240,21955,
Maine Maritime Academy,04420-0001,28208,
Malone University,44709-3308,45900,
Manchester University,46962,45954,
Manhattan Christian College,66502-4801,31122,
Manhattan College,10471-4098,64730,
Manhattan School of Music,10027,70925,
Manhattanville College,10577,56800,
Manor College,19046-3399,30859,
Mansfield University of Pennsylvania,16933,25500,
Maranatha Baptist University,53094,28110,
Marian University,54935-4699,39558,
Marian University,46222-1997,50968,
Marietta College,45750,50218,
Marion Military Institute,36756-3207,18568,
Marist College,12601,61545,
Marlboro College,05344-0300,43350,
Marquette University,53233,60500,
Mars Hill University,28754,45896,
Marshall University,25755,22443,
Marshalltown Community College,50158,16980,
Martin Luther College,56073-3965,27230,
Martin Methodist College,38478-2799,42300,
Mary Baldwin University,24401,43870,
Maryland Institute College of Art,21217-4134,67075,
Marymount California University,90275-6299,55542,
Marymount Manhattan College,10021-4597,61550,
Marymount University,22207-4299,50585,
Maryville College,37804-5907,51316,
Maryville University of Saint Louis,63141-7299,47542,
Marywood University,18509-1598,53112,
Massachusetts College of Art and Design,02115-5882,30700,
Massachusetts College of Liberal Arts,01247-4100,26633,
Massachusetts Institute of Technology,02139-4307,73160,
Massachusetts Maritime Academy,02532-1803,28602,
Mayville State University,58257-1299,19164,
McDaniel College,21157,59232,
McKendree University,62254-1291,45110,
McMurry University,79697,42273,
McNeese State University,70605,22256,
McPherson College,67460-1402,43998,
MCPHS University,02115-5896,56902,
Medaille College,14214-2695,46688,
Menlo College,94027-4301,62395,
Mercer University,31207,53822,
Mercy College,10522,38868,
Mercyhurst University,16546,56311,
Mercyhurst University-North East Campus,16428,32902,
Meredith College,27607-5298,52670,
Meredith Manor International Equestrian Center,26184,29183,
Meridian Community College,39307-5801,12883,
Merrimack College,01845,62110,
Mesabi Range College,55792,19927,
Mesalands Community College,88401-3352,15200,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,11218-5559,17850,
Mesivta Torah Vodaath Rabbinical Seminary,11218,20260,
Mesivtha Tifereth Jerusalem of America,10002-6301,16750,
Messenger College,76021-4202,22425,
Messiah College,17055,50380,
Methodist College,61615,40910,
Methodist University,28311-1420,56908,
Miami University-Oxford,45056,33805,
Michigan Career and Technical Institute,49080-9254,14928,
Michigan State University,48824-1046,29130,
Michigan Technological University,49931-1295,30542,
Mid-America Christian University,73170-9797,30236,
Mid-Atlantic Christian University,27909-4054,30960,
Mid-Plains Community College,69101,13530,
Mid-South Christian College,38118-3151,17488,
MidAmerica Nazarene University,66062-1899,48766,
Middle Georgia State University,31206,16339,
Middle Tennessee State University,37132,23518,
Middlebury College,05753,74248,
Midland College,79705,13088,
Midland University,68025,46158,
Midway University,40347-1120,41650,
Midwestern Baptist Theological Seminary,64118-4697,20748,
Midwestern State University,76308-2099,21911,
Miles College,35064-2621,22894,
Miles Community College,59301-4774,15387,
Millersville University of Pennsylvania,17551-0302,29906,
Milligan College,37682,47140,
Millikin University,62522-2084,51972,
Mills College,94613,48839,
Millsaps College,39210-0001,58524,
Milwaukee Institute of Art & Design,53202-6003,50320,
Milwaukee School of Engineering,53202-3109,55130,
Mineral Area College,63601-1000,16086,
Minneapolis College of Art and Design,55404,53764,
Minnesota State Community and Technical College,56537-1000,17044,
Minnesota State University Moorhead,56563,23000,
Minnesota State University-Mankato,56001,21278,
Minnesota West Community and Technical College,56241,18446,
Minot State University,58707,19386,
Mirrer Yeshiva Cent Institute,11223-2010,20612,
Misericordia University,18612-1098,51030,
Mississippi College,39058,35312,
Mississippi Delta Community College,38761,9285,
Mississippi Gulf Coast Community College,39573,12200,
Mississippi State University,39762,25904,
Mississippi University for Women,39701,20888,
Mississippi Valley State University,38941-1400,20315,
Missouri Baptist University,63141-8698,42552,
Missouri Southern State University,64801-1595,18105,
Missouri State University-Springfield,65897,21859,
Missouri State University-West Plains,65775-2715,14925,
Missouri University of Science and Technology,65409,23294,
Missouri Valley College,65340,35580,
Missouri Western State University,64507,21015,
Mitchell College,06320,51450,
Moberly Area Community College,65270-1304,14204,
Mohawk Valley Community College,13501-5394,20205,
Molloy College,11571-5002,53494,
Monmouth College,61462-1998,51270,
Monmouth University,07764-1898,59054,
Monroe College,10468,32560,
Monroe Community College,14623,18216,
Montana Bible College,59718,14786,
Montana State University,59717,22813,
Montana State University Billings,59101-0298,19543,
Montana State University-Northern,59501,17025,
Montana Technological University,59701-8997,22808,
Montclair State University,07043-1624,32108,
Montgomery County Community College,19422-0796,18480,
Montreat College,28757-1267,40805,
Montserrat College of Art,01915-4508,52550,
Moody Bible Institute,60610-3284,29398,
Moore College of Art and Design,19103-1179,62574,
Moravian College,18018-6650,63064,
Morehead State University,40351,22832,
Morehouse College,30314,48500,
Morgan State University,21251-0001,23687,
Morningside College,51106-1751,46660,
Morris College,29150-3599,27170,
Morrison Institute of Technology,61270-2959,29412,
Mount Aloysius College,16630-1999,40146,
Mount Angel Seminary,97373-0505,39700,
Mount Carmel College of Nursing,43222-1504,25712,
Mount Holyoke College,01075-1489,69578,
Mount Marty College,57078-3724,41898,
Mount Mary University,53222-4597,48250,
Mount Mercy University,52402-4797,48877,
Mount Saint Joseph University,45233-1670,43230,
Mount Saint Mary College,12550,51486,
Mount Saint Mary's University,90049-1599,63195,
Mount St. Mary's University,21727-7799,58620,
Mount Vernon Nazarene University,43050-9500,44252,
Muhlenberg College,18104,69816,
Multnomah University,97220,44201,
Murray State College,73460,18690,
Murray State University,42071-3318,23694,
Musicians Institute,90028,47088,
Muskingum University,43762,43208,
Naropa University,80302-6697,50423,
National Park College,71913,15692,
Navajo Technical University,87313-0849,15510,
Navarro College,75110,20146,
Nazareth College,14618-3790,52371,
Nebraska Christian College of Hope International University,68046,34118,
Nebraska College of Technical Agriculture,69025-9552,17707,
Nebraska Methodist College of Nursing & Allied Health,68114-2852,32270,
Nebraska Wesleyan University,68504-2794,50236,
Neosho County Community College,66720,16316,
Ner Israel Rabbinical College,21208,23250,
Neumann University,19014-1298,50640,
Neumont College of Computer Science,84111-1917,38294,
New College of Florida,34243-2109,20915,
New England College,03242,57585,
New England Culinary Institute,05602,40221,
New England Institute of Technology,02818-1205,51311,
New Hope Christian College-Eugene,97405,27000,
New Jersey City University,07305,32896,
New Jersey Institute of Technology,07102,38574,
New Mexico Highlands University,87701,19556,
New Mexico Institute of Mining and Technology,87801,22930,
New Mexico Junior College,88240,9502,
New Mexico Military Institute,88201-5173,17548,
New Mexico State University-Main Campus,88003-8001,22281,
New Orleans Baptist Theological Seminary,70126,19635,
New York Conservatory for Dramatic Arts,10011-4225,57011,
New York Institute of Technology,11568-8000,59953,
New York School of Interior Design,10021,53522,
New York Seminary,11218-5611,19150,
New York University,10012-1091,75502,
Newberry College,29108,42288,
Newman University,67213-2097,45784,
NHTI-Concord's Community College,03301-7412,22814,
Niagara University,14109,49660,
Nicholls State University,70310,23538,
Nichols College,01571-5000,53790,
Norfolk State University,23504-8000,26710,
North American University,77477-0000,23600,
North Carolina A & T State University,27411,18487,
North Carolina Central University,27707,24466,
North Carolina State University at Raleigh,27695-7001,24259,
North Carolina Wesleyan College,27804,45300,
North Central College,60540,54326,
North Central Kansas Technical College,67420,17458,
North Central Michigan College,49770,15333,
North Central Missouri College,64683,17437,
North Central Texas College,76240-4699,14220,
North Central University,55404-1391,37644,
North Country Community College,12983-0089,20908,
North Dakota State College of Science,58076-0002,16075,
North Dakota State University-Main Campus,58108-6050,23032,
North Georgia Technical College,30523,10647,
North Greenville University,29688-1892,38570,
North Idaho College,83814-2199,16466,
North Iowa Area Community College,50401,16579,
North Park University,60625-4895,44450,
Northampton County Area Community College,18020-7599,25428,
Northcentral Technical College,54401-1899,15684,
Northeast Community College,68702-0469,15401,
Northeast Mississippi Community College,38829,12252,
Northeast Texas Community College,75455,19807,
Northeastern Illinois University,60625-4699,30689,
Northeastern Junior College,80751-2944,19406,
Northeastern Oklahoma A&M College,74354,16783,
Northeastern State University,74464-2399,18537,
Northeastern University,02115-5005,73236,
Northern Arizona University,86011-4092,28150,
Northern Illinois University,60115-2828,28980,
Northern Kentucky University,41099,23642,
Northern Maine Community College,04769-2016,18571,
Northern Michigan University,49855-5301,24805,
Northern Oklahoma College,74653,13160,
Northern State University,57401-7198,23075,
Northern Vermont University,05656-9464,26192,
Northern Wyoming Community College District,82801,15349,
Northland College,54806-3999,50372,
Northpoint Bible College,01835,29260,
Northwest Christian University,97401-3745,44410,
Northwest College,82435-1898,16286,
Northwest Indian College,98226-9217,14512,
Northwest Iowa Community College,51201,18256,
Northwest Mississippi Community College,38668-1714,10205,
Northwest Missouri State University,64468-6001,20235,
Northwest Nazarene University,83686-5897,42990,
Northwest University,98083-0579,45300,
Northwestern College,51041,45900,
Northwestern Michigan College,49686,19155,
Northwestern Oklahoma State University,73717-2799,18818,
Northwestern Polytechnic University,94539,22080,
Northwestern State University of Louisiana,71497-0002,23867,
Northwestern University,60208,78654,
Northwood University,48640-2398,43030,
Norwich University,05663-1035,60048,
Notre Dame College,44121-4293,45250,
Notre Dame de Namur University,94002-1908,58564,
Notre Dame of Maryland University,21210-2476,53480,
Nova Southeastern University,33314-7796,52967,
Nueta Hidatsa Sahnish College,58763,19010,
Nyack College,10004,41615,
Oak Hills Christian College,56601-8834,30679,
Oakland City University,47660-1099,39974,
Oakland University,48309-4401,27370,
Oakwood University,35896,37764,
Oberlin College,44074,77124,
Occidental College,90041-3392,76600,
Odessa College,79764,12440,
Oglala Lakota College,57752-0490,15534,
Oglethorpe University,30319-2797,56930,
Ohio Christian University,43113-9487,33860,
Ohio Dominican University,43219,46092,
Ohio Northern University,45810-1599,49392,
Ohio State University Agricultural Technical Institute,44691-4000,23167,
Ohio State University-Main Campus,43210,27912,
Ohio State University-Mansfield Campus,44906,23106,
Ohio State University-Newark Campus,43055,23106,
Ohio University-Main Campus,45701-2979,29980,
Ohio Valley University,26105-8000,32880,
Ohio Wesleyan University,43015-2370,63360,
Ohr Hameir Theological Seminary,10566,21600,
Oklahoma Baptist University,74804,43510,
Oklahoma Christian University,73013,38155,
Oklahoma City University,73106-1402,46080,
Oklahoma Panhandle State University,73939-0430,16275,
Oklahoma State University Institute of Technology,74447-3901,14406,
Oklahoma State University-Main Campus,74078-1015,23939,
Oklahoma Wesleyan University,74006-6299,41300,
Old Dominion University,23529,27070,
Olivet College,49076,42758,
Olivet Nazarene University,60914-2271,48770,
Olympic College,98337-1699,19440,
Onondaga Community College,13215-4585,17220,
Oral Roberts University,74171,44146,
Oregon Institute of Technology,97601-8801,24758,
Oregon State University,97331,27915,
Oregon State University-Cascades Campus,97702,26838,
Otero Junior College,81050,18266,
Otis College of Art and Design,90045-3505,67932,
Ottawa University-Ottawa,66067-3399,45890,
Ottawa University-Surprise,85374,47170,
Otterbein University,43081,47764,
Ouachita Baptist University,71998-0001,40200,
Our Lady of the Lake University,78207-4689,43762,
Ozark Christian College,64801,23078,
Ozarka College,72556-0010,15344,
Pace University,10038-1598,68252,
Pacific Lutheran University,98447-0003,58258,
Pacific Northwest College of Art,97209-3404,57828,
Pacific Rim Christian University,96819-2228,24850,
Pacific Union College,94508-9707,44811,
Pacific University,97116,62157,
Paine College,30901-3182,26782,
Palm Beach Atlantic University,33401,51066,
Panola College,75633-2397,17330,
Paris Junior College,75460,15802,
Park University,64152-3795,24730,
Patrick Henry College,20132,39650,
Paul Quinn College,75241,19225,
Paul Smiths College of Arts and Science,12970-0265,47093,
Pearl River Community College,39470,11428,
Pennsylvania Academy of the Fine Arts,19102-1510,61908,
Pennsylvania College of Art and Design,17608-0059,40110,
Pennsylvania College of Technology,17701-5799,33893,
Pennsylvania State University-Main Campus,16802-1503,36962,
Pennsylvania State University-Penn State Abington,19001-3918,33044,
Pennsylvania State University-Penn State Altoona,16601-3777,33718,
Pennsylvania State University-Penn State Beaver,15061-2764,32222,
Pennsylvania State University-Penn State Berks,19610-1016,33718,
Pennsylvania State University-Penn State Brandywine,19063-5522,32988,
Pennsylvania State University-Penn State Erie-Behrend College,16563-0001,33718,
Pennsylvania State University-Penn State Greater Allegheny,15132-7644,32222,
Pennsylvania State University-Penn State Harrisburg,17057-4846,33718,
Pennsylvania State University-Penn State Hazleton,18202-8025,32988,
Pennsylvania State University-Penn State Mont Alto,17237-9700,32222,
Pennsylvania State University-Penn State Schuylkill,17972-2202,32988,
Pepperdine University,90263,75312,
Peru State College,68421-0010,20936,
Pfeiffer University,28109-0960,46218,
Philander Smith College,72202-3799,26105,
Piedmont College,30535-0010,41650,
Piedmont International University,27101,23400,
Pierce College-Fort Steilacoom,98498-1999,18301,
Pierce College-Puyallup,98498-1999,18408,
Pine Manor College,02467,48230,
Pittsburg State University,66762,20252,
Pittsburgh Technical College,15071,35152,
Pitzer College,91711-6101,75850,
Plymouth State University,03264-1595,29430,
Point Loma Nazarene University,92106-2899,53290,
Point Park University,15222-1984,47670,
Point University,31833,34185,
Pomeroy College of Nursing at Crouse Hospital,13210-1687,27439,
Pomona College,91711-6319,74480,
Pontifical College Josephinum,43235-1499,43542,
Portland State University,97201,26955,
Post University,06723,33660,
Potomac State College of West Virginia University,26726,17016,
Prairie View A & M University,77446,25408,
Pratt Community College,67124,14486,
Pratt Institute-Main,11205,70368,
Presbyterian College,29325,53910,
Prescott College,86301,44499,
Presentation College,57401-1280,35352,
Princeton University,08544-0070,74150,
Principia College,62028-9799,44150,
Providence Christian College,91101,49313,
Providence College,02918-0001,69730,
Purdue University Fort Wayne,46805-1499,22866,
Purdue University Northwest,46323,23211,
Purdue University-Main Campus,47907-2040,22882,
Queens University of Charlotte,28274-0001,50590,
Quincy University,62301-2699,43100,
Quinnipiac University,06518,67020,
Rabbi Jacob Joseph School,08817-4494,19250,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,11230,19450,
Rabbinical College Beth Shraga,10952-3033,23950,
Rabbinical College Bobover Yeshiva Bnei Zion,11219,16250,
Rabbinical College of America,07960-3600,23000,
Rabbinical College of Long Island,11561,17700,
Rabbinical College of Ohr Shimon Yisroel,11211,19600,
Rabbinical College Ohr Yisroel,11236,14850,
Rabbinical College Telshe,44092,20200,
Rabbinical Seminary of America,11367,19100,
Radford University,24142,24445,
Radford University-Carilion,24013,24445,
Rainy River Community College,56649-2160,15567,
Ramapo College of New Jersey,07430-1680,32404,
Randall University,73160,28946,
Randolph College,24503-1555,58880,
Randolph-Macon College,23005-5505,57470,
Ranger College,76470,14046,
Ranken Technical College,63113-2811,24589,
Reading Hospital School of Health Sciences,19611,23379,
Redlands Community College,73036-5304,16570,
Reed College,97202-8199,75671,
Reedley College,93654,13516,
Regent University,23464,30143,
Regis College,02493-1571,61605,
Regis University,80221-1099,55508,
Reinhardt University,30183-2981,41700,
Rensselaer Polytechnic Institute,12180-3590,73816,
Rhode Island College,02908,24612,
Rhode Island School of Design,02903-2784,72780,
Rhodes College,38112-1690,64573,
Rice University,77005-1827,67102,
Richard Bland College,23805-7100,22784,
Rider University,08648-3099,63850,
Ringling College of Art and Design,34234-5895,69604,
Ripon College,54971-0248,56116,
Riverland Community College,55912-1473,17412,
Rivier University,03060,50612,
Roanoke College,24153-3794,62943,
Robert Morris University,15108-1189,49258,
Robert Morris University Illinois,60605,48324,
Roberts Wesleyan College,14624,47360,
Rochester Institute of Technology,14623-5603,61474,
Rochester University,48307,35210,
Rockford University,61108-2311,46254,
Rockhurst University,64110-2561,54515,
Rocky Mountain College,59102-1796,42574,
Roger Williams University,02809-2921,56346,
Rogers State University,74017-3252,22594,
Rollins College,32789-4499,70026,
Roosevelt University,60605-1394,49699,
Rose State College,73110-2799,20468,
Rose-Hulman Institute of Technology,47803-3920,70401,
Rosedale Bible College,43029,20949,
Rosemont College,19010-1699,36338,
Rowan University,08028,35638,
Rust College,38635,16700,
Rutgers University-Camden,08102,32930,
Rutgers University-New Brunswick,08901-1281,33457,
Rutgers University-Newark,07102,33730,
Sacred Heart Major Seminary,48206-1799,37450,
Sacred Heart University,06825-1000,62880,
Saginaw Valley State University,48710,23473,
Saint Ambrose University,52803-2898,47438,
Saint Anselm College,03102-1310,61550,
Saint Augustine's University,27610-2298,32112,
Saint Charles Borromeo Seminary-Overbrook,19096,41324,
Saint Cloud State University,56301-4498,21356,
Saint Edward's University,78704-6489,63940,
Saint Francis University,15940,56118,
Saint John Fisher College,14618-3597,50300,
Saint John Vianney College Seminary,33165-3244,40000,
Saint Johns University,56321,59572,
Saint Joseph Seminary College,70457,38070,
Saint Joseph's College of Maine,04084-5236,53710,
Saint Joseph's University,19131-1395,63630,
Saint Leo University,33574-6665,40844,
Saint Louis Christian College,63033,24180,
Saint Louis University,63103-2097,62868,
Saint Martin's University,98503-7500,54560,
Saint Mary's College,46556,59420,
Saint Mary's College of California,94575,70382,
Saint Mary's University of Minnesota,55987-1399,49320,
Saint Mary-of-the-Woods College,47876-1099,46380,
Saint Michael's College,05439,62195,
Saint Norbert College,54115-2099,52014,
Saint Peter's University,07306-5997,57010,
Saint Vincent College,15650-2690,51821,
Saint Xavier University,60655,49064,
Salem College,27101,47946,
Salem State University,01970,28164,
Salem University,26426,28100,
Salisbury University,21801-6862,26404,
Salish Kootenai College,59855,17319,
Salve Regina University,02840-4192,61260,
Sam Houston State University,77340,23326,
Samford University,35229-2240,49634,
San Diego Christian College,92071,50454,
San Diego State University,92182-0001,30522,
San Francisco Art Institute,94133-2299,72904,
San Francisco Conservatory of Music,94102-6011,69135,
San Francisco State University,94132,26987,
San Jose State University,95192-0001,30065,
Santa Clara University,95053,74829,
Sarah Lawrence College,10708,74740,
Savannah College of Art and Design,31402-3146,58961,
Savannah State University,31404-5310,17255,
School of the Art Institute of Chicago,60603,69880,
School of Visual Arts,10010,69868,
Schreiner University,78028-5697,42587,
Scripps College,91711-3905,77588,
Seattle Pacific University,98119-1997,61452,
Seattle University,98122-4340,63921,
Seminary Bnos Chaim,08701-2336,20665,
Seminole State College,74868-1901,19690,
Seton Hall University,07079-2697,63002,
Seton Hill University,15601,52768,
Seward County Community College,67901,14118,
Sh'or Yoshuv Rabbinical College,11559-1714,21160,
Shasta Bible College and Graduate School,96002,24410,
Shasta College,96003,11824,
Shaw University,27601,29734,
Shawnee State University,45662,21139,
Shenandoah University,22601-5195,47850,
Shepherd University,25443,22409,
Shippensburg University of Pennsylvania,17257-2299,30614,
Shoreline Community College,98133-5696,19251,
Shorter University,30165,35130,
Siena College,12211-1462,58200,
Siena Heights University,49221,40806,
Sierra College,95677-3397,13864,
Sierra Nevada College,89451,53000,
Simmons University,02115-5898,61100,
Simpson College,50125,54008,
Simpson University,96003-8606,46150,
Sisseton Wahpeton College,57262,12110,
Sitting Bull College,58538-9721,14256,
Skagit Valley College,98273,17800,
Skidmore College,12866,74140,
Slippery Rock University of Pennsylvania,16057-1383,24981,
Smith College,01063,75169,
Snead State Community College,35957-0734,13853,
Snow College,84627,12436,
Soka University of America,92656-8081,50968,
Sonoma State University,94928-3609,28268,
South Carolina State University,29117-0001,30060,
South Dakota School of Mines and Technology,57701-3995,25980,
South Dakota State University,57007-1898,22313,
South Georgia State College,31533,18562,
South Georgia Technical College,31709,8162,
South Plains College,79336,13137,
Southeast Community College Area,68510-2449,14430,
Southeast Missouri State University,63701,22406,
Southeast Technical Institute,57107-1301,21759,
Southeastern Baptist College,39440-9989,12525,
Southeastern Baptist Theological Seminary,27587-1889,18955,
Southeastern Community College,52655-0180,18374,
Southeastern Free Will Baptist Bible College,27591-9072,17746,
Southeastern Louisiana University,70402,22689,
Southeastern Oklahoma State University,74701-3347,17708,
Southeastern University,33801-6034,42330,
Southern Adventist University,37315-0370,35510,
Southern Arkansas University Main Campus,71753,23750,
Southern Arkansas University Tech,71701-1906,19478,
Southern California Seminary,92019-1108,35259,
Southern Connecticut State University,06515-1355,27682,
Southern Illinois University-Carbondale,62901-4512,29567,
Southern Illinois University-Edwardsville,62026-1259,25921,
Southern Maine Community College,04106-1698,17346,
Southern Methodist University,75275-0221,76710,
Southern Nazarene University,73008,38744,
Southern New Hampshire University,03106-1045,51878,
Southern Oregon University,97520,28764,
Southern Union State Community College,36276,13450,
Southern University and A & M College,70813,23592,
Southern University at New Orleans,70126,21739,
Southern University at Shreveport,71107,21520,
Southern Utah University,84720,20519,
Southern Virginia University,24416,30198,
Southern Wesleyan University,29630-1020,37896,
Southwest Baptist University,65613-2596,35898,
Southwest Collegiate Institute for the Deaf,79720-7298,15547,
Southwest Minnesota State University,56258-5468,21282,
Southwest Mississippi Community College,39666-0000,11780,
Southwest Texas Junior College,78801-6297,16022,
Southwest Wisconsin Technical College,53809-9778,17770,
Southwestern Adventist University,76059,33798,
Southwestern Assemblies of God University,75165,34500,
Southwestern Baptist Theological Seminary,76115,14430,
Southwestern Christian College,75160-4812,16969,
Southwestern Christian University,73008,25930,
Southwestern College,67156-6224,47077,
Southwestern Community College,50801,15952,
Southwestern Indian Polytechnic Institute,87120-3101,9999,
Southwestern Michigan College,49047-9793,19534,
Southwestern Oklahoma State University,73096-3001,21801,
Southwestern Oregon Community College,97420-2193,17027,
Southwestern University,78626,57870,
Spalding University,40203-2188,40187,
Spartan College of Aeronautics and Technology,74115,36330,
Spartanburg Methodist College,29301-5899,31420,
Spelman College,30314-4399,54310,
Spring Arbor University,49283-9799,42470,
Spring Hill College,36608-1791,59062,
Springfield College,01109-3797,55585,
St Bonaventure University,14778-9800,50751,
St Catherine University,55105,53634,
St Clair County Community College,48061-5015,21112,
St Francis College,11201-4305,47498,
St John's University-New York,11439,63106,
St Lawrence University,13617,73045,
St Olaf College,55057-1098,62880,
St. Andrews University,28352,45000,
St. John's College,21401,50001,
St. John's College,87505-4599,50265,
St. Joseph's College of Nursing,13203,33791,
St. Louis College of Pharmacy,63110-1088,47506,
St. Mary's College of Maryland,20686,31147,
St. Mary's University,78228,47300,
St. Thomas Aquinas College,10976-1050,50810,
St. Thomas University,33054-6459,49446,
Stanford University,94305,74570,
State Fair Community College,65301-2199,15013,
State Technical College of Missouri,65051-9607,17263,
State University of New York at New Paltz,12561-2443,26230,
Stephen F Austin State University,75961,22732,
Stephens College,65215,38612,
Sterling College,05827-0072,51620,
Sterling College,67579,40478,
Stetson University,32723,65698,
Stevens Institute of Technology,07030-5991,72034,
Stevenson University,21153-0641,55266,
Stillman College,35401,28092,
Stockton University,08205-9441,31364,
Stonehill College,02357-6110,63540,
Stony Brook University,11794,27221,
Suffolk University,02108-3901,61216,
Sul Ross State University,79832,23972,
Sullivan County Community College,12759-5151,19343,
Sullivan University,40205-3013,29044,
SUM Bible College and Theological Seminary,95762,23630,
Summit Christian College,69341,13297,
SUNY at Albany,12222,27136,
SUNY at Fredonia,14063-1136,23969,
SUNY at Purchase College,10577-1400,27991,
SUNY Broome Community College,13901-1001,21286,
SUNY Buffalo State,14222,27518,
SUNY College at Brockport,14420-2919,25382,
SUNY College at Geneseo,14454-1465,26454,
SUNY College at Old Westbury,11568-0210,24358,
SUNY College at Oswego,13126,25507,
SUNY College at Plattsburgh,12901-2681,26662,
SUNY College at Potsdam,13676-2294,25257,
SUNY College of Agriculture and Technology at Cobleskill,12043,26737,
SUNY College of Environmental Science and Forestry,13210,29680,
SUNY College of Technology at Alfred,14802,26211,
SUNY College of Technology at Canton,13617-1098,25284,
SUNY College of Technology at Delhi,13753-1100,24960,
SUNY Corning Community College,14830,18328,
SUNY Cortland,13045-0900,25744,
SUNY Maritime College,10465-4198,26864,
SUNY Morrisville,13408,28800,
SUNY Oneonta,13820-4015,25782,
SUNY Polytechnic Institute,13502,24921,
Susquehanna University,17870-1025,65000,
Swarthmore College,19081,73932,
Sweet Briar College,24595-9998,39370,
Syracuse University,13244,73069,
Tabor College,67063-1799,44240,
Taft College,93268,13513,
Talladega College,35160,28388,
Talmudic College of Florida,33140-3854,26650,
Talmudical Academy-New Jersey,07710,20700,
Talmudical Institute of Upstate New York,14607-3046,14550,
Talmudical Seminary of Bobov,11219,17700,
Talmudical Seminary Oholei Torah,11213,21500,
Talmudical Yeshiva of Philadelphia,19131,20100,
Tarleton State University,76401-0000,22730,
Taylor University,46989-1001,48755,
Telshe Yeshiva-Chicago,60625,18500,
Temple University,19122-6096,35371,
Tennessee State University,37209-1561,23424,
Tennessee Technological University,38505-0001,26434,
Tennessee Wesleyan University,37303,37100,
Terra State Community College,43420-9670,22778,
Texas A & M International University,78041-1900,18994,
Texas A & M University-College Station,77843-1248,30083,
Texas A & M University-Commerce,75428-3011,23191,
Texas A & M University-Corpus Christi,78412-5503,24469,
Texas A & M University-Kingsville,78363,23673,
Texas A&M University-San Antonio,78224,25710,
Texas A&M University-Texarkana,75503,21417,
Texas Christian University,76129,68414,
Texas College,75702,21800,
Texas Lutheran University,78155-5999,44530,
Texas Southern University,77004,25343,
Texas State Technical College,76705,20371,
Texas State University,78666,23791,
Texas Tech University,79409-5005,23590,
Texas Wesleyan University,76105-1536,47769,
Texas Woman's University,76204,21032,
Thaddeus Stevens College of Technology,17602-3198,19110,
The Ailey School,10019-4402,32650,
The Baptist College of Florida,32440,19362,
The Catholic University of America,20064,67156,
The College of Idaho,83605-4432,45804,
The College of New Jersey,08628-7718,36093,
The College of Saint Rose,12203-1490,49672,
The College of Saint Scholastica,55811-4199,51866,
The College of the Florida Keys,33040,21445,
The College of Wooster,44691,66150,
The Evergreen State College,98505-0001,25005,
The Juilliard School,10023-6588,68968,
The King's College,10004,59962,
